season	id	name	createdate	origin	is_paid	round_start	id_user
2017/18	956	beach1	2017-08-01 14:04:31.927	REVISTA	1	0	760573
2017/18	958	Drink Team	2017-08-01 14:04:39.290	REVISTA	1	0	760829
2017/18	959	MONHê VOADOR F.C.	2017-08-01 14:04:39.950	REVISTA	1	0	766384
2017/18	967	beach2	2017-08-01 14:05:38.340	C‡DIGO OFERTA 3+1	0	0	760573
2017/18	973	black1	2017-08-01 14:06:51.193	REVISTA	1	0	760573
2017/18	974	roger_team	2017-08-01 14:06:55.870	REVISTA	1	0	766251
2017/18	975	MassacreTotal	2017-08-01 14:07:08.320	REVISTA	1	0	760563
2017/18	978	black2	2017-08-01 14:07:35.240	REVISTA	1	0	760573
2017/18	982	Coraá∆oDeLe∆o	2017-08-01 14:08:58.883	REVISTA	1	0	762157
2017/18	983	Os Latinos das Minis	2017-08-01 14:09:12.870	REVISTA	1	0	760754
2017/18	984	Moinho da Mata F.C.	2017-08-01 14:09:43.103	REVISTA	1	0	765527
2017/18	986	Os Pelezinhos	2017-08-01 14:10:31.730	REVISTA	1	0	775678
2017/18	988	ALVALADE XXI	2017-08-01 14:10:42.170	REVISTA	1	0	762157
2017/18	994	blue1	2017-08-01 14:11:35.910	REVISTA	1	0	760573
2017/18	995	ROCODREAMTEAM	2017-08-01 14:11:38.853	REVISTA	1	0	760922
2017/18	1003	blue2	2017-08-01 14:12:13.963	C‡DIGO OFERTA 3+1	0	0	760573
2017/18	1010	brasil1	2017-08-01 14:13:39.850	REVISTA	1	0	760573
2017/18	1012	ALMA VERDE	2017-08-01 14:13:59.053	REVISTA	1	0	762157
2017/18	1014	brasil2	2017-08-01 14:15:22.130	REVISTA	1	0	760573
2017/18	1015	chambix mais 11	2017-08-01 14:15:36.967	REVISTA	1	0	760894
2017/18	1023	castores1	2017-08-01 14:16:38.713	REVISTA	1	0	760573
2017/18	1025	ALESANTI	2017-08-01 14:16:56.513	REVISTA	1	0	763412
2017/18	1026	ULTRAS	2017-08-01 14:17:16.493	REVISTA	1	0	762653
2017/18	1027	castores2	2017-08-01 14:17:19.207	C‡DIGO OFERTA 3+1	0	0	760573
2017/18	1028	Os FIfias	2017-08-01 14:17:24.177	REVISTA	1	0	765208
2017/18	1029	EspanTozo United	2017-08-01 14:17:30.757	REVISTA	1	0	760929
2017/18	1034	east1	2017-08-01 14:18:30.450	REVISTA	1	0	760573
2017/18	1035	"F.C ""Os Rassudos"""	2017-08-01 14:18:32.527	REVISTA	1	0	768480
2017/18	1039	east2	2017-08-01 14:19:18.867	REVISTA	1	0	760573
2017/18	1043	east3	2017-08-01 14:20:05.813	REVISTA	1	0	760573
2017/18	1049	gene1	2017-08-01 14:21:02.957	C‡DIGO OFERTA 3+1	0	0	760573
2017/18	1052	JLVTeam	2017-08-01 14:21:34.913	REVISTA	1	0	760956
2017/18	1053	JP Team 01	2017-08-01 14:21:44.820	REVISTA	1	0	764225
2017/18	1054	gene2	2017-08-01 14:21:45.527	REVISTA	1	0	760573
2017/18	1058	gene3	2017-08-01 14:22:37.357	REVISTA	1	0	760573
2017/18	1059	Peixotinho Team	2017-08-01 14:23:05.107	REVISTA	1	0	761591
2017/18	1061	DJCGTeam	2017-08-01 14:23:37.870	REVISTA	1	0	761013
2017/18	1062	JIM JORGE 01	2017-08-01 14:23:41.967	REVISTA	1	0	763119
2017/18	1066	gold1	2017-08-01 14:24:08.950	REVISTA	1	0	760573
2017/18	1068	JIM JORGE 02	2017-08-01 14:24:16.470	REVISTA	1	0	763119
2017/18	1074	gold2	2017-08-01 14:24:48.837	C‡DIGO OFERTA 3+1	0	0	760573
2017/18	1076	JIM JORGE 03	2017-08-01 14:24:50.777	REVISTA	1	0	763119
2017/18	1083	Pantera Negra	2017-08-01 14:25:44.097	REVISTA	1	0	761151
2017/18	1087	F.C. OS CARICAS	2017-08-01 14:26:35.503	REVISTA	1	0	761322
2017/18	1099	Coentr∆oTraidor	2017-08-01 14:27:48.670	REVISTA	1	0	783337
2017/18	1105	JIM JORGE 04	2017-08-01 14:28:16.540	C‡DIGO OFERTA 3+1	0	0	763119
2017/18	1106	CHAMA IMENSA	2017-08-01 14:28:20.630	REVISTA	1	0	760566
2017/18	1108	JIM JORGE 05	2017-08-01 14:28:59.273	REVISTA	1	0	763119
2017/18	1109	O Revoltado	2017-08-01 14:29:01.153	REVISTA	1	0	760710
2017/18	1113	C† vai alho!	2017-08-01 14:29:15.413	REVISTA	1	0	762095
2017/18	1114	NOBRE CHAMA IMENSA	2017-08-01 14:29:15.890	REVISTA	1	0	760566
2017/18	1117	JIM JORGE 06	2017-08-01 14:29:26.377	REVISTA	1	0	763119
2017/18	1120	Mala**	2017-08-01 14:29:45.090	REVISTA	1	0	761211
2017/18	1121	Al-Qaeda Team	2017-08-01 14:29:56.773	REVISTA	1	0	763943
2017/18	1122	JIM JORGE 07	2017-08-01 14:29:57.153	REVISTA	1	0	763119
2017/18	1127	green1	2017-08-01 14:30:22.910	REVISTA	1	0	760573
2017/18	1133	JIM JORGE 08	2017-08-01 14:30:54.853	C‡DIGO OFERTA 3+1	0	0	763119
2017/18	1145	Inàs_Tiago	2017-08-01 14:33:39.850	REVISTA	1	0	762008
2017/18	1146	panthera	2017-08-01 14:33:56.967	REVISTA	1	0	781148
2017/18	1147	Mibba.pt	2017-08-01 14:34:08.577	REVISTA	1	0	776934
2017/18	1173	green2	2017-08-01 14:39:52.817	REVISTA	1	0	760573
2017/18	1177	100Sacional	2017-08-01 14:40:26.563	REVISTA	1	0	776816
2017/18	1181	Ultimate RCMA	2017-08-01 14:41:04.890	REVISTA	1	0	767240
2017/18	1182	Tataranhos	2017-08-01 14:41:05.007	REVISTA	1	0	766573
2017/18	1183	insular1	2017-08-01 14:41:08.060	REVISTA	1	0	760573
2017/18	1186	F. C. Baklite	2017-08-01 14:41:40.807	REVISTA	1	0	763564
2017/18	1187	insular2	2017-08-01 14:41:56.190	C‡DIGO OFERTA 3+1	0	0	760573
2017/18	1188	Comer Hµ Patinho	2017-08-01 14:41:59.830	REVISTA	1	0	761049
2017/18	1193	marrio1	2017-08-01 14:43:16.860	REVISTA	1	0	760573
2017/18	1198	marrio2	2017-08-01 14:44:15.533	REVISTA	1	0	760573
2017/18	1202	Rodas 82	2017-08-01 14:44:44.587	REVISTA	1	0	768210
2017/18	1210	OS TERRIVEIS	2017-08-01 14:46:42.587	REVISTA	1	0	763923
2017/18	1211	reeds1	2017-08-01 14:46:50.043	REVISTA	1	0	760573
2017/18	1214	reeds2	2017-08-01 14:47:35.970	C‡DIGO OFERTA 3+1	0	0	760573
2017/18	1216	Patinho	2017-08-01 14:48:09.310	REVISTA	1	0	761607
2017/18	1217	JohnnySLB1	2017-08-01 14:48:25.670	REVISTA	1	0	766903
2017/18	1220	riomar1	2017-08-01 14:48:49.077	REVISTA	1	0	760573
2017/18	1222	Sport Clube Villaret	2017-08-01 14:49:19.163	REVISTA	1	0	768780
