agegroup,gender,club,district,visitas,rank_total_final,equipas,equipas_epoca_seguinte
45-54,Masculino ,Benfica,Leiria,552,5274,1,1
35-44,Masculino ,Benfica,Braga,452,21835,1,1
35-44,Masculino ,Benfica,Setúbal,1168,3332,2,2
35-44,Masculino ,Benfica,Lisboa,1676,417,1,1
35-44,Masculino ,Benfica,Lisboa,608,9637,1,1
35-44,Masculino ,Sporting,Lisboa,360,29711,9,2
25-34,Feminino  ,Benfica,Ilha da Madeira,1044,11024,1,1
35-44,Masculino ,Benfica,Faro,888,14104,3,4
25-34,Masculino ,Benfica,Faro,1120,5951,2,1
25-34,Masculino ,Benfica,Beja,948,6280,1,1
35-44,Masculino ,Sporting,Faro,632,953,1,1
35-44,Masculino ,Benfica,Leiria,324,6857,1,1
35-44,Masculino ,Benfica,Santarém,704,18394,4,4
25-34,Masculino ,Benfica,Beja,868,6484,1,1
25-34,Masculino ,Sporting,Guarda,432,3724,2,1
25-34,Masculino ,Benfica,Beja,968,22816,4,9
45-54,Masculino ,Sporting,Lisboa,612,4724,1,1
35-44,Feminino  ,Sporting,Coimbra,756,40064,4,5
35-44,Masculino ,FC Porto,Braga,1312,6585,1,1
25-34,Feminino  ,Benfica,Faro,496,17150,2,3
45-54,Masculino ,Sporting,Aveiro,1064,7043,1,1
35-44,Masculino ,Sporting,Lisboa,464,4064,1,1
35-44,Masculino ,Sporting,Lisboa,284,15721,1,1
35-44,Masculino ,FC Porto,Porto,1076,5265,1,1
25-34,Masculino ,FC Porto,Coimbra,632,11375,1,1
35-44,Masculino ,Benfica,Faro,576,8592,1,1
35-44,Masculino ,Benfica,Leiria,816,3165,1,1
25-34,Masculino ,Benfica,Évora,952,8332,1,1
25-34,Masculino ,Benfica,Coimbra,752,16175,1,1
